date,dbc_close,uso_close,ung_close,gld_close,cper_close,dba_close,spy_close,uup_close,tip_close,gldm_close,tlt_close,bndx_close
2025-01-01,25.0766,70.1618,14.9915,179.4737,24.9352,20.0024,431.1717,28.0790,105.0341,35.9110,93.7184,48.9625
2025-01-02,25.1209,70.2897,15.0126,179.6422,24.9857,20.0390,431.4102,28.0577,105.0181,35.9382,93.7363,48.9901
2025-01-03,25.1619,70.4164,15.0355,179.8370,25.0374,20.0736,431.5845,28.0346,105.0108,35.9708,93.7617,49.0146
2025-01-04,25.2002,70.5444,15.0603,180.0535,25.0892,20.1060,431.7037,28.0110,105.0143,36.0083,93.7910,49.0347
2025-01-05,25.2367,70.6761,15.0870,180.2861,25.1404,20.1360,431.7800,27.9876,105.0298,36.0498,93.8208,49.0497
2025-01-06,25.2722,70.8127,15.1155,180.5290,25.1903,20.1637,431.8267,27.9654,105.0570,36.0943,93.8483,49.0594
2025-01-07,25.3075,70.9552,15.1455,180.7766,25.2386,20.1895,431.8568,27.9449,105.0947,36.1407,93.8716,49.0643
2025-01-08,25.3432,71.1036,15.1767,181.0246,25.2851,20.2137,431.8816,27.9261,105.1413,36.1880,93.8894,49.0649
2025-01-09,25.3796,71.2574,15.2087,181.2697,25.3299,20.2368,431.9095,27.9092,105.1945,36.2355,93.9017,49.0623
2025-01-10,25.4169,71.4156,15.2412,181.5103,25.3734,20.2592,431.9456,27.8939,105.2521,36.2827,93.9089,49.0573
2025-01-11,25.4550,71.5772,15.2740,181.7462,25.4159,20.2812,431.9914,27.8798,105.3123,36.3293,93.9121,49.0509
2025-01-12,25.4938,71.7411,15.3069,181.9785,25.4577,20.3031,432.0451,27.8665,105.3739,36.3754,93.9126,49.0438
2025-01-13,25.5330,71.9063,15.3400,182.2091,25.4992,20.3249,432.1026,27.8536,105.4363,36.4213,93.9117,49.0361
2025-01-14,25.5723,72.0726,15.3732,182.4404,25.5405,20.3465,432.1586,27.8409,105.4998,36.4674,93.9103,49.0280
2025-01-15,25.6113,72.2398,15.4069,182.6745,25.5818,20.3678,432.2078,27.8283,105.5653,36.5142,93.9089,49.0190
2025-01-16,25.6499,72.4087,15.4411,182.9126,25.6229,20.3883,432.2463,27.8159,105.6344,36.5621,93.9072,49.0085
2025-01-17,25.6882,72.5803,15.4763,183.1551,25.6633,20.4079,432.2727,27.8041,105.7088,36.6113,93.9042,48.9957
2025-01-18,25.7264,72.7560,15.5124,183.4005,25.7027,20.4262,432.2890,27.7933,105.7900,36.6617,93.8985,48.9798
2025-01-19,25.7650,72.9374,15.5496,183.6461,25.7404,20.4430,432.3006,27.7842,105.8792,36.7129,93.8878,48.9600
2025-01-20,25.8046,73.1260,15.5880,183.8877,25.7759,20.4584,432.3167,27.7775,105.9770,36.7643,93.8700,48.9360
2025-01-21,25.8458,73.3228,15.6272,184.1201,25.8087,20.4725,432.3493,27.7736,106.0827,36.8149,93.8428,48.9079
2025-01-22,25.8896,73.5286,15.6669,184.3376,25.8384,20.4856,432.4120,27.7731,106.1949,36.8636,93.8044,48.8762
2025-01-23,25.9366,73.7430,15.7067,184.5346,25.8652,20.4985,432.5190,27.7761,106.3108,36.9090,93.7538,48.8420
2025-01-24,25.9875,73.9651,15.7459,184.7062,25.8891,20.5118,432.6830,27.7825,106.4269,36.9500,93.6908,48.8067
2025-01-25,26.0425,74.1930,15.7840,184.8492,25.9107,20.5263,432.9140,27.7918,106.5389,36.9856,93.6165,48.7723
2025-01-26,26.1017,74.4240,15.8203,184.9622,25.9309,20.5429,433.2174,27.8033,106.6422,37.0150,93.5331,48.7409
2025-01-27,26.1647,74.6549,15.8542,185.0463,25.9507,20.5624,433.5934,27.8158,106.7323,37.0380,93.4439,48.7147
2025-01-28,26.2310,74.8821,15.8854,185.1053,25.9714,20.5855,434.0360,27.8281,106.8053,37.0549,93.3529,48.6956
2025-01-29,26.2995,75.1018,15.9135,185.1451,25.9943,20.6127,434.5334,27.8388,106.8584,37.0665,93.2649,48.6852
2025-01-30,26.3690,75.3107,15.9385,185.1740,26.0206,20.6440,435.0682,27.8465,106.8899,37.0739,93.1847,48.6847
2025-01-31,26.4380,75.5061,15.9607,185.2017,26.0515,20.6794,435.6188,27.8499,106.8998,37.0789,93.1170,48.6943
2025-02-01,26.5050,75.6861,15.9806,185.2385,26.0877,20.7184,436.1612,27.8480,106.8898,37.0835,93.0656,48.7137
2025-02-02,26.5688,75.8498,15.9988,185.2948,26.1298,20.7602,436.6704,27.8401,106.8631,37.0898,93.0336,48.7416
2025-02-03,26.6280,75.9979,16.0162,185.3797,26.1777,20.8038,437.1232,27.8260,106.8245,37.0999,93.0224,48.7764
2025-02-04,26.6818,76.1320,16.0336,185.5007,26.2310,20.8480,437.4999,27.8059,106.7796,37.1158,93.0321,48.8154
2025-02-05,26.7297,76.2550,16.0521,185.6628,26.2890,20.8915,437.7858,27.7805,106.7349,37.1388,93.0611,48.8559
2025-02-06,26.7716,76.3705,16.0726,185.8679,26.3504,20.9333,437.9730,27.7509,106.6966,37.1700,93.1065,48.8949
2025-02-07,26.8078,76.4830,16.0958,186.1147,26.4139,20.9721,438.0606,27.7185,106.6707,37.2098,93.1641,48.9297
2025-02-08,26.8393,76.5970,16.1222,186.3991,26.4779,21.0071,438.0553,27.6848,106.6623,37.2580,93.2289,48.9576
2025-02-09,26.8671,76.7169,16.1523,186.7142,26.5409,21.0377,437.9703,27.6515,106.6749,37.3137,93.2953,48.9768
2025-02-10,26.8926,76.8468,16.1861,187.0508,26.6013,21.0637,437.8243,27.6202,106.7107,37.3755,93.3579,48.9859
2025-02-11,26.9174,76.9899,16.2233,187.3989,26.6579,21.0853,437.6400,27.5922,106.7700,37.4418,93.4116,48.9844
2025-02-12,26.9430,77.1481,16.2636,187.7478,26.7099,21.1027,437.4417,27.5688,106.8513,37.5104,93.4523,48.9725
2025-02-13,26.9707,77.3226,16.3062,188.0872,26.7567,21.1168,437.2537,27.5505,106.9517,37.5793,93.4770,48.9514
2025-02-14,27.0018,77.5130,16.3505,188.4083,26.7982,21.1284,437.0980,27.5376,107.0670,37.6466,93.4840,48.9226
2025-02-15,27.0371,77.7179,16.3956,188.7043,26.8348,21.1386,436.9926,27.5301,107.1923,37.7104,93.4731,48.8882
2025-02-16,27.0771,77.9351,16.4406,188.9707,26.8670,21.1485,436.9503,27.5273,107.3223,37.7696,93.4454,48.8504
2025-02-17,27.1218,78.1615,16.4849,189.2057,26.8959,21.1589,436.9781,27.5286,107.4520,37.8232,93.4032,48.8117
2025-02-18,27.1710,78.3940,16.5278,189.4100,26.9223,21.1708,437.0770,27.5328,107.5768,37.8709,93.3494,48.7742
2025-02-19,27.2241,78.6292,16.5690,189.5866,26.9476,21.1847,437.2424,27.5388,107.6931,37.9130,93.2877,48.7396
2025-02-20,27.2804,78.8640,16.6081,189.7403,26.9726,21.2011,437.4654,27.5456,107.7985,37.9499,93.2218,48.7093
2025-02-21,27.3390,79.0960,16.6453,189.8767,26.9984,21.2200,437.7340,27.5521,107.8919,37.9825,93.1549,48.6839
2025-02-22,27.3989,79.3235,16.6807,190.0019,27.0256,21.2414,438.0345,27.5576,107.9732,38.0119,93.0900,48.6638
2025-02-23,27.4593,79.5454,16.7145,190.1219,27.0547,21.2650,438.3536,27.5616,108.0435,38.0393,93.0292,48.6487
2025-02-24,27.5195,79.7616,16.7471,190.2414,27.0857,21.2903,438.6795,27.5637,108.1047,38.0657,92.9736,48.6378
2025-02-25,27.5792,79.9726,16.7788,190.3639,27.1187,21.3170,439.0033,27.5641,108.1589,38.0919,92.9236,48.6304
2025-02-26,27.6381,80.1793,16.8101,190.4915,27.1533,21.3445,439.3193,27.5628,108.2083,38.1185,92.8787,48.6253
2025-02-27,27.6962,80.3831,16.8413,190.6244,27.1892,21.3724,439.6257,27.5604,108.2548,38.1457,92.8379,48.6218
2025-02-28,27.7537,80.5850,16.8723,190.7616,27.2260,21.4007,439.9237,27.5570,108.2999,38.1736,92.8000,48.6191
2025-03-01,27.8110,80.7863,16.9034,190.9012,27.2632,21.4291,440.2174,27.5533,108.3442,38.2018,92.7636,48.6169
2025-03-02,27.8683,80.9873,16.9344,191.0408,27.3007,21.4577,440.5121,27.5493,108.3875,38.2299,92.7278,48.6152
2025-03-03,27.9261,81.1882,16.9651,191.1782,27.3385,21.4867,440.8132,27.5452,108.4289,38.2573,92.6921,48.6142
2025-03-04,27.9844,81.3883,16.9953,191.3118,27.3765,21.5165,441.1250,27.5410,108.4670,38.2838,92.6565,48.6147
2025-03-05,28.0433,81.5865,17.0248,191.4412,27.4153,21.5474,441.4492,27.5362,108.4999,38.3090,92.6221,48.6174
2025-03-06,28.1025,81.7812,17.0533,191.5676,27.4554,21.5796,441.7843,27.5305,108.5261,38.3330,92.5902,48.6231
2025-03-07,28.1616,81.9707,17.0807,191.6937,27.4972,21.6134,442.1252,27.5233,108.5442,38.3562,92.5629,48.6326
2025-03-08,28.2199,82.1533,17.1071,191.8238,27.5415,21.6488,442.4631,27.5138,108.5537,38.3791,92.5425,48.6462
2025-03-09,28.2766,82.3277,17.1326,191.9632,27.5887,21.6857,442.7859,27.5015,108.5549,38.4028,92.5310,48.6639
2025-03-10,28.3308,82.4932,17.1576,192.1179,27.6392,21.7237,443.0799,27.4860,108.5493,38.4285,92.5305,48.6853
2025-03-11,28.3818,82.6498,17.1826,192.2938,27.6932,21.7622,443.3307,27.4670,108.5395,38.4574,92.5421,48.7094
2025-03-12,28.4289,82.7985,17.2082,192.4961,27.7503,21.8004,443.5250,27.4446,108.5292,38.4909,92.5659,48.7348
2025-03-13,28.4717,82.9414,17.2351,192.7285,27.8102,21.8375,443.6523,27.4193,108.5225,38.5301,92.6011,48.7595
2025-03-14,28.5101,83.0813,17.2641,192.9926,27.8718,21.8725,443.7063,27.3918,108.5242,38.5757,92.6456,48.7815
2025-03-15,28.5444,83.2219,17.2958,193.2877,27.9341,21.9046,443.6861,27.3630,108.5388,38.6281,92.6965,48.7986
2025-03-16,28.5753,83.3671,17.3306,193.6102,27.9958,21.9330,443.5971,27.3343,108.5706,38.6871,92.7496,48.8089
2025-03-17,28.6037,83.5210,17.3689,193.9540,28.0554,21.9572,443.4507,27.3071,108.6226,38.7519,92.8004,48.8106
2025-03-18,28.6312,83.6876,17.4106,194.3108,28.1116,21.9771,443.2638,27.2826,108.6966,38.8213,92.8440,48.8027
2025-03-19,28.6591,83.8700,17.4557,194.6706,28.1631,21.9928,443.0580,27.2623,108.7928,38.8935,92.8758,48.7846
2025-03-20,28.6891,84.0704,17.5036,195.0226,28.2092,22.0046,442.8577,27.2471,108.9098,38.9665,92.8918,48.7568
2025-03-21,28.7228,84.2899,17.5535,195.3559,28.2491,22.0134,442.6881,27.2377,109.0444,39.0381,92.8890,48.7202
2025-03-22,28.7614,84.5280,17.6046,195.6607,28.2829,22.0203,442.5734,27.2345,109.1920,39.1060,92.8657,48.6766
2025-03-23,28.8060,84.7831,17.6559,195.9288,28.3109,22.0263,442.5342,27.2372,109.3467,39.1682,92.8216,48.6285
2025-03-24,28.8572,85.0521,17.7063,196.1547,28.3340,22.0330,442.5862,27.2452,109.5023,39.2232,92.7581,48.5785
2025-03-25,28.9151,85.3310,17.7548,196.3361,28.3532,22.0415,442.7382,27.2575,109.6521,39.2697,92.6780,48.5295
2025-03-26,28.9794,85.6149,17.8006,196.4738,28.3702,22.0530,442.9922,27.2729,109.7899,39.3073,92.5851,48.4846
2025-03-27,29.0492,85.8987,17.8430,196.5717,28.3865,22.0685,443.3422,27.2896,109.9105,39.3362,92.4846,48.4461
2025-03-28,29.1234,86.1775,17.8815,196.6369,28.4039,22.0886,443.7756,27.3062,110.0099,39.3571,92.3817,48.4161
2025-03-29,29.2005,86.4465,17.9162,196.6786,28.4240,22.1137,444.2739,27.3210,110.0858,39.3714,92.2820,48.3960
2025-03-30,29.2787,86.7023,17.9471,196.7073,28.4481,22.1436,444.8144,27.3327,110.1377,39.3810,92.1905,48.3865
2025-03-31,29.3565,86.9422,17.9748,196.7342,28.4773,22.1780,445.3724,27.3400,110.1669,39.3879,92.1115,48.3873
